id,airport_code,city,driver_name,driver_rating,driver_trips,cab_type,vehicle_model,passenger_capacity,base_fare,price_per_km,estimated_wait_minutes,is_electric,is_shuttle
1,IXT,Pasighat,Deepak Joshi,4.46,444,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,14,0,0
2,JRG,Jharsuguda,Pankaj Das,4.43,2331,Executive Premium,Mercedes C-Class,4,1200,35,10,0,0
3,IXJ,Jammu,Suresh Patel,4.76,2232,Sedan (Dzire/Etios),Toyota Etios,4,350,14,10,0,0
4,CCJ,Kozhikode (Calicut),Amit Kumar,4.65,1470,Executive Premium,Toyota Camry Hybrid,4,1200,35,9,0,0
5,LAT,Latur,Amit Kumar,4.75,653,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,8,0,0
6,DGR,Deoghar,Vijay Reddy,4.94,789,Airport Express Shuttle,Force Traveller AC,12,180,8,3,0,1
7,LAT,Latur,Anil Deshmukh,4.97,686,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,7,0,0
8,RGD,Raigarh,Dinesh Pillai,4.86,2236,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,11,1,0
9,KNU,Kanpur,Deepak Joshi,4.91,1360,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,7,0,0
10,BHO,Bhopal,Vikram Singh,4.83,264,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,5,1,0
11,KBK,Kushinagar,Praveen Nair,4.47,2062,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,9,0,0
12,RGD,Raigarh,Deepak Joshi,4.66,1306,Airport Express Shuttle,Force Traveller AC,12,180,8,14,0,1
13,KUU,Kullu / Manali,Dinesh Pillai,4.54,1954,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,10,0,0
14,BDQ,Vadodara,Rajesh Sharma,4.8,2310,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,12,0,0
15,PUI,Purnea,Vikram Singh,4.88,513,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,11,1,0
16,BOK,Bokaro,Vikram Singh,4.7,2173,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,8,0,0
17,KHA,Khandwa,Santosh Kulkarni,4.45,2244,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,12,0,0
18,CHI,Chhindwara,Mahesh Choudhary,4.65,1775,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,7,1,0
19,HSR,Rajkot,Santosh Kulkarni,4.61,809,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,3,0,0
20,ATQ,Amritsar,Santosh Kulkarni,4.43,1451,Airport Express Shuttle,Tata Winger Executive,12,180,8,9,0,1
21,COB,Cooch Behar,Deepak Joshi,4.83,385,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,4,0,0
22,TRZ,Tiruchirappalli (Trichy),Amit Kumar,4.71,2180,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,14,0,0
23,KARN,Karnal,Rohan Mehta,4.74,1030,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,5,1,0
24,BLT,Balurghat,Rahul Banerjee,4.6,745,Airport Express Shuttle,Force Traveller AC,12,180,8,14,0,1
25, سات,Satna,Amit Kumar,4.41,828,Airport Express Shuttle,Tata Winger Executive,12,180,8,14,0,1
26,GAW,Guwahati,Mahesh Choudhary,4.77,2080,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,12,0,0
27,UTK,Kalahandi / Utkela,Sunil Yadav,4.72,1621,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,14,0,0
28,ZER,Ziro,Rajesh Sharma,4.45,655,Sedan (Dzire/Etios),Toyota Etios,4,350,14,12,0,0
29,PAT,Patna,Anil Deshmukh,4.55,1842,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,5,0,0
30,VNS,Varanasi,Harpreet Singh,4.44,1434,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,6,0,0
31,GAW,Guwahati,Sanjay Rao,4.55,653,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,10,0,0
32,TEZU,Tezu,Santosh Kulkarni,4.8,243,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,14,0,0
33,TRV,Thiruvananthapuram,Suresh Patel,4.67,969,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,12,0,0
34,BPI,Mayurbhanj,Santosh Kulkarni,4.73,1278,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,14,0,0
35,IXE,Mangaluru,Amit Kumar,4.44,1909,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,14,0,0
36,IXL,Leh (Ladakh),Sunil Yadav,4.52,1535,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,7,0,0
37,PAT,Patna,Amit Kumar,4.44,930,Airport Express Shuttle,Tata Winger Executive,12,180,8,4,0,1
38,SAH,Saharanpur,Santosh Kulkarni,4.45,2130,Hatchback (WagonR),Tata Tiago,4,250,12,5,0,0
39,JLR,Jabalpur,Harpreet Singh,4.75,293,Sedan (Dzire/Etios),Toyota Etios,4,350,14,13,0,0
40,IXE,Mangaluru,Mahesh Choudhary,4.93,557,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,4,0,0
41,AYJ,Ayodhya,Harpreet Singh,4.86,833,Executive Premium,Toyota Camry Hybrid,4,1200,35,5,0,0
42,IXM,Madurai,Pankaj Das,4.8,2072,Airport Express Shuttle,Tata Winger Executive,12,180,8,5,0,1
43,JDH,Jodhpur,Manoj Gupta,4.68,1876,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,13,0,0
44,NDC,Nanded,Santosh Kulkarni,4.83,339,Airport Express Shuttle,Tata Winger Executive,12,180,8,11,0,1
45,HYD,Hyderabad,Vijay Reddy,4.44,1052,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,14,1,0
